dia_pinado,shop_id,item_id,main_category,level2_global_kpi_category,batch_time,promo_price_dia_pinado,orders_dia_pinado,gmv_dia_pinado,promo_price_max_acumulado,ADO_acumulado,adgmv_acumulado
2023-07-07,441234830,11186373013,Bags,Backpacks,6.0,69.9,0.0,0.0,69.9,0.07,4.67
2023-07-05,417489596,19805529873,Women Clothes,"Jumpsuits, Playsuits & Overalls",12.0,56.99,10.0,561.39,59.99,2.25,146.58
2023-07-08,547119438,21220415585,Women Clothes,"Jackets, Coats & Vests",6.0,64.99,36.5,2462.3,69.99,6.49,434.29
2023-07-07,316168996,17088507464,Women Clothes,Jeans,21.0,0.0,0.0,0.0,149.99,0.17,26.23
2023-07-08,412526223,9535677121,Fashion Accessories,Hats & Caps,0.0,19.7,8.99,235.97,19.9,1.13,31.95
2023-07-05,341293050,21408025690,Women Clothes,Pants & Leggings,12.0,109.9,1.0,137.15,109.9,0.61,70.01
2023-07-05,367507085,5586728337,Shoes,Heels,20.0,0.0,0.0,0.0,48.9,0.54,29.68
2023-07-09,401637348,19032452861,Shoes,Oxfords & Lace-Ups,18.0,59.99,14.0,913.77,62.9,13.6,893.44
2023-07-09,329076450,7979316201,Shoes,Sneakers,20.0,0.0,0.0,0.0,59.9,2.27,149.52
2023-07-06,417489596,15582946065,Women Clothes,Sports & Outdoor Apparels,18.0,42.99,8.58,495.72,44.99,2.2,115.88
2023-07-08,499950777,11823006052,Baby & Kids Fashion,Boy Shoes,6.0,49.9,7.0,547.65,49.9,4.37,248.55
2023-07-09,612227047,12975383775,Women Clothes,Jeans,6.0,79.99,8.0,655.38,85.99,8.92,772.15
2023-07-07,358675294,19073260928,Underwear & Sleepwear,Women Underwear,11.0,49.9,110.83,5916.01,59.9,0.17,10.82
2023-07-09,349323342,8009083337,Baby & Kids Fashion,Girl Shoes,10.0,23.99,15.0,418.26,0.0,0.0,0.0
2023-07-08,293340317,20971239834,Shoes,Sandals & Flip Flops,12.0,45.9,8.0,429.14,45.9,1.07,54.64
2023-07-06,376576138,16514485933,Baby & Kids Fashion,Boy Shoes,14.0,39.9,63.5,2672.63,42.9,6.55,283.53
